month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,4.106467941602462,4.3773083064968565,4.225396218084781,3.894064103301368,3.9909523269651275,4.067248083560822,4.339414201900358,4.730435890979627,4.613693620157336,3.9303681715530194,4.464457639060384,3.7636392450497334,3.835981690025598,3.7687141036604226,3.7245059486460015,3.966113185547814,4.120983865658569,4.009589251749096,3.810150565269345,4.7065980454175405,3.9328725660822603,3.9955747362843366,3.674669525006483,4.096505197225159,4.028612215029982,4.011447858112763,4.1932922228692835,3.518346617422352,3.7775592524865442,3.802001749202902,3.8325969722997186,3.6081756913203717,4.3202020552041285,3.6712247948211876,4.252547863434292,3.569425020763267,4.460875601454395,4.147807242125957,3.8402212824928057,4.172757343780428,3.606082641109049,4.04949366052786,4.2142070462864725,4.172265660550106,3.49759824001691,4.073889997140174,4.200327766063226,3.8718837655659692,4.183945928586765,3.6373180219715024,4.201949384270629,4.160823885047967
2,3.5581397446320393,3.9281052957272666,3.6923575019330293,3.227938896693613,3.4425156004034565,3.6422454545055394,3.824389012550706,3.944144623814804,4.057076347687101,3.4054570153565398,3.888654299232702,3.2677308093203217,3.3541571251634794,3.336287164622915,3.241770716908571,3.533897329849076,3.542053837887643,3.4759935280282903,3.178185043223027,3.800568146487122,3.280912064217334,3.4699259934106554,3.1380113690861835,3.4723907225499393,3.3321797686554113,3.4195964593311494,3.587951480895844,3.0892678985494304,3.1393467212188595,3.1648297049389846,3.2066744087914576,3.1105652137822073,3.750732810780054,3.084409712841743,3.7403977247310825,3.1216740266887193,3.8177819389616254,3.5744249781551836,3.2852728413281294,3.5458434774602776,3.1219739530402535,3.417188482771009,3.7253741250836905,3.613757443937375,3.1126123232561773,3.461755307564207,3.7469758310592334,3.2794003506017773,3.699064680291467,3.165805641052206,3.6536308893773106,3.772982298673946
3,3.97590050911722,4.326355624742781,4.147904709297635,3.4895072837486087,3.509065348188279,3.597232333204071,3.6764180734848946,3.838339554235756,3.671464038801398,3.5099831878471135,3.7618565905744847,3.442425481933772,3.484091816625246,3.3583972429669977,3.2724280781943653,3.5950709699319727,3.761613600363841,3.674484324453879,3.4429555001601613,3.746220274043671,3.5853473316242566,3.6977479971944045,3.243426183756411,3.7438503987168286,3.695951935061688,3.733334185659502,3.926482285326846,3.114617861421581,3.3904494643986607,3.4313140557990627,3.4978129597797087,3.250007100595873,4.109509913429928,3.2685137923657357,4.098957755165457,3.1586035013819127,4.161510534819532,3.9408859904781486,3.5553157496847914,3.9088589566917245,3.2557534202701475,3.7982132800507213,4.165762899281875,4.022923875579811,3.045481108366988,3.834077131131949,4.12936562766706,3.4863427693644575,4.068461206847227,3.178238288937069,4.075465555612236,4.167904727689969
4,3.7715197131330185,3.954301032571425,3.876897695000724,3.6682881409435537,3.8905532663161075,3.966692171215149,4.081827281930013,4.085322800276979,4.064450199640841,3.901559151773837,4.056097479108481,3.778013444281258,3.863358136594099,3.6911915993867948,3.5462908363723935,3.9279915183422203,4.037913987344338,3.9424497308546216,3.7123469094021773,3.8995941192392185,3.809754342865102,3.9804003184405787,3.4741707378667384,3.9263895236970843,3.891087914901247,4.0288699887518025,4.175070416250444,3.4282537669839233,3.671794247452769,3.6138527389863557,3.5908785152196856,3.510780407596518,4.310677667814166,3.3997565331358426,4.120825757711343,3.290539348801632,4.278116609783301,3.931477053757819,3.5996227891451715,3.9150981700556846,3.389694304809614,3.7797053259896582,4.21970373136034,4.077540854803759,3.188434184905986,3.762208888333197,4.029875543141022,3.400774262336248,3.8796593703765634,3.196922719536353,3.9020923861862427,3.865383065711533
5,4.054050803053702,4.23426564419405,4.089434461653756,3.7983329647302013,4.155839528389351,4.287758236124219,4.541272444998516,4.605700797417575,4.580838514520517,4.1696506822532635,4.4822533676147716,3.980068204981444,4.229077227485912,3.9405667125318664,3.7538870433280764,4.199421110219215,4.304558740086739,4.085815315124228,3.8435590960209263,4.364745548087082,3.9421893921009232,4.249297800849475,3.7296626948761618,4.073500099841119,4.029015035368746,4.310983073011174,4.552403897030963,3.625983649088946,3.8584494298589007,3.726197762754614,3.880893165030051,3.698291696644128,4.731218785374681,3.599865563121175,4.373350493494458,3.5287627141543596,4.57385595724305,4.163979312335719,3.922044775633669,4.115551599962455,3.7767594356988554,4.002451051309953,4.4805734245053035,4.282650885740453,3.3566808161833714,4.07791541509409,4.2847254765764085,3.6588550420343946,4.154384586007053,3.407137993506184,4.176326361386429,4.1330327988683795
6,3.994328044423366,4.075763006306271,3.9813235661839155,4.108116131268852,4.439938170206424,4.466185897002186,4.5739600835129455,4.583115819596808,4.772571695473368,4.383884647375967,4.579755050838551,4.232195272986644,4.4286314424454805,4.318915828360778,4.234292244920466,4.3348378760927275,4.333590566904751,4.212245386755825,4.157399677617017,4.3695693494368655,4.1656439841561035,4.265770219569908,4.164822685270678,4.180378323785941,4.170710737080871,4.222152208757181,4.335372353956724,4.099642638152254,4.13125712254736,4.089429700953647,4.0821611202267825,4.090559700523816,4.468009207943387,4.079704028437399,4.181776670993568,4.0221171121807275,4.3491854999559765,4.042717284870373,4.037122999238722,4.046856481723906,4.058060528263335,4.016457521941981,4.258217685499685,4.068452790634277,3.9817532161445475,4.017568683631449,4.103236119769738,3.920434554178504,4.043622967762245,3.930749066738815,4.045912402410648,4.038595006303665
7,3.804167776490166,3.7081362551686756,3.7771933078868543,4.0134817581814355,4.440130143707862,4.322218094482515,4.29476718661447,4.19833154094975,4.369697424118076,4.375156195865139,4.194048912651507,4.245390462779942,4.26326096571447,4.332388521480363,4.434357085760226,4.1886900103775275,4.116411683907265,4.131920800984925,4.250893449678344,4.097143424998573,4.144976377318386,4.059643363709947,4.385003189344992,4.036857286380054,4.014890182612263,4.023580197210568,4.0307449071837,4.382816701136284,4.158599192726071,4.120232568363624,3.9462600733453956,4.209765218539915,4.1144046976316835,4.157777388946049,3.8942788685263108,4.1266171878912665,4.010331489804185,3.8302376627655765,3.8700087483989116,3.7946882574771545,4.021534937429605,3.775152139486623,3.94327115282427,3.8414562254682894,4.160310873782993,3.789573233056553,3.871145517232917,3.8293176571494896,3.8448370038281565,3.981076849528716,3.8212952344739555,3.8002071735001395
8,4.520969543664431,4.586737070115531,4.494997051915751,4.73471639818416,5.046878181350949,4.987338027452038,5.031431953594114,4.982613990607617,5.12417762419101,4.975863181206326,4.918624340830768,4.8755806272660545,4.856936337765887,4.909296602492357,5.022147412326557,4.862033590180365,4.866765620914659,4.819051313643042,4.8192508849091835,4.907567682014993,4.851303736763638,4.778038627655889,4.882804071842674,4.863220846784331,4.801651316102537,4.777547053806421,4.714939812344759,4.863549669036779,4.718039653404914,4.788287752484619,4.669196033490947,4.7617083986710815,4.860900600899813,4.708529196132381,4.757814729791497,4.6192494746664785,4.842780678056092,4.5705108445928815,4.493452063888793,4.57730785029788,4.548745464651536,4.514191793695591,4.903351267216074,4.612298787669923,4.691350029515321,4.496355459186855,4.61891286776986,4.460165477521939,4.548609051625928,4.503296077023683,4.539471527946718,4.550822254206178
9,4.379395857293574,4.368771697701105,4.297811080782564,4.795582256757925,4.953997978288338,4.910437085919581,4.9753249147685805,4.832079593337525,5.045353203610007,4.874650675113024,4.913369744021857,4.808051462088552,4.834621809771463,4.910249691731772,5.015414295795085,4.740779571087173,4.689703256959017,4.743967034037834,4.853161101085356,4.808197034807311,4.811658273695876,4.663810345396235,5.026111201255459,4.7020377071137025,4.647605276875878,4.615579575622121,4.590178468810657,5.045689295926951,4.819033781748157,4.841908184933961,4.669921949053827,4.957215363899325,4.6921824781460915,4.848093514928625,4.631822921598441,4.83506351062784,4.704581419412798,4.491237130047216,4.52675556982518,4.547775556460576,4.690629456876332,4.522723234240651,4.692383436997469,4.46253408177104,4.870229709615041,4.431504799244636,4.435350491011366,4.449797107152347,4.439833842173167,4.632922979162814,4.406814858883153,4.405714619117188
10,5.3990325431434165,5.265207310166483,5.318902093629883,5.9094511184192955,6.133687273174319,6.171435525057185,6.144183679936817,5.9322758646519675,5.950033546267287,6.160653909507827,6.164534861332745,6.136640991643138,6.164838788665948,6.051672195033165,6.04592823918294,6.12921160475334,6.000867240962628,6.131513451384487,6.1212464311137955,5.808832439537162,6.050223329999871,6.00420902979819,6.054977834202176,5.892384762544169,5.931844071694123,5.812063320447787,5.767718558408729,6.081675263052743,6.035939576611812,5.976393850675505,5.774879392412188,6.022689015188666,5.7300847617627575,5.887557982108916,5.498900014801405,5.825135505646411,5.681164805989622,5.537284847944332,5.635602369018815,5.595538158170377,5.771682355771008,5.546150076842847,5.562228717305192,5.541604598996845,5.737138203193381,5.517759065361709,5.428790719406331,5.548624366009352,5.404684669905316,5.526200375218926,5.4274172851740206,5.33085200395503
11,5.547906925612668,5.347174635588475,5.476324538002786,5.603218041135679,5.351355505693714,5.382114742267986,5.3631369868031165,5.402881345394478,5.145298248490188,5.429563614577919,5.432661856453742,5.400849645371866,5.422289584660988,5.2020993528155985,5.141352554374678,5.442205256978878,5.555231738253685,5.6022575811895265,5.494422386961407,5.164752001079868,5.620431026762188,5.540472478713964,5.262151982322868,5.67324246111104,5.698962718401022,5.507718805413295,5.559758055089601,5.2406731286475345,5.586225458462477,5.546072744287544,5.596513364794779,5.376857769825517,5.463433565962765,5.432243667044052,5.443716061936009,5.352631753507538,5.629791060355247,5.5282202779591945,5.563532198884115,5.585927131953584,5.427229683536315,5.598154024956172,5.427429440430097,5.531952957166393,5.157867096212248,5.611575800617831,5.366960417435575,5.468734759944551,5.423451757610968,5.287765159147923,5.520591129577997,5.343883859639544
12,3.8489335566589262,4.027253143486916,3.892729173650558,3.89874412317747,3.947990413909322,4.011030487121869,4.165691386569656,4.171334342955269,4.389909431259102,3.896577458858963,4.139912174126754,3.7464991085799677,3.7919648853366703,3.769274811574773,3.804131261160039,3.870790484122137,3.9124830641072452,3.9340901954002425,3.858116556235496,3.955959350879202,3.9187261632903354,3.8309182052811943,3.749874622556166,3.995786311159116,3.9826379152506473,3.7885533896115287,3.8926902428299917,3.6250001703510173,3.822154816042588,3.8306083333577203,3.798564066792144,3.739264194156451,4.023904712430358,3.744587410373254,3.981279943998796,3.689431393274154,4.122752138002658,3.875943844386427,3.6938203976671193,3.899736290660891,3.6062886450736213,3.837243959028074,3.9953736590103905,3.9150730446853506,3.6737100724831167,3.8209434058179106,3.900057683321436,3.6604465509105912,3.8918063256090236,3.6640796091343724,3.8601065471591447,3.9234577230868224
